,Date,Open,High,Low,Close,Volume,High-Low,Open-Close
0,2020-09-28,2229.0,2238.7,2207.25,2215.75,516453.0,31.45,13.25
1,2020-09-25,2196.0,2212.6,2168.6,2201.7,413085.0,44.0,-5.7
2,2020-09-24,2210.0,2226.0,2175.65,2181.15,439081.0,50.35,28.85
3,2020-09-23,2275.0,2276.5,2206.15,2229.55,774144.0,70.35,45.45
4,2020-09-22,2287.0,2287.0,2201.35,2211.15,693332.0,85.65,75.85
5,2020-09-21,2305.0,2336.55,2248.0,2255.15,501009.0,88.55,49.85
6,2020-09-18,2315.8,2319.6,2277.05,2305.5,518389.0,42.55,10.3
7,2020-09-17,2319.0,2334.4,2293.0,2299.35,421866.0,41.4,19.65
8,2020-09-16,2323.7,2368.8,2311.75,2323.85,653164.0,57.05,-0.15
9,2020-09-15,2315.0,2326.5,2288.2,2317.9,509141.0,38.3,-2.9
10,2020-09-14,2319.75,2360.0,2281.95,2302.35,619976.0,78.05,17.4
11,2020-11-09,2314.65,2337.0,2286.05,2318.85,1330635.0,50.95,-4.2
12,2020-10-09,2185.0,2343.9,2176.15,2314.65,2449702.0,167.75,-129.65
13,2020-09-09,2085.0,2167.2,2085.0,2161.25,850676.0,82.2,-76.25
14,2020-08-09,2093.8,2120.0,2080.9,2107.05,481632.0,39.1,-13.25
15,2020-07-09,2080.2,2105.0,2045.35,2082.4,625358.0,59.65,-2.2
16,2020-04-09,2065.6,2097.0,2065.6,2077.4,461018.0,31.4,-11.8
17,2020-03-09,2128.0,2137.0,2103.2,2112.15,274998.0,33.8,15.85
18,2020-02-09,2095.0,2137.0,2085.5,2128.6,1979773.0,51.5,-33.6
19,2020-01-09,2095.0,2121.75,2063.45,2087.55,542387.0,58.3,7.45
20,2020-08-31,2172.0,2172.0,2061.25,2078.55,770897.0,110.75,93.45
21,2020-08-28,2120.0,2131.9,2106.2,2115.6,463554.0,25.7,4.4
22,2020-08-27,2146.25,2148.5,2103.75,2111.7,397191.0,44.75,34.55
23,2020-08-26,2087.4,2147.15,2047.25,2136.85,857465.0,99.9,-49.45
24,2020-08-25,2105.0,2111.3,2078.3,2082.0,481884.0,33.0,23.0
25,2020-08-24,2098.8,2104.65,2070.15,2096.05,560786.0,34.5,2.75
26,2020-08-21,2119.8,2119.8,2077.05,2081.75,437199.0,42.75,38.05
27,2020-08-20,2118.05,2123.9,2087.8,2096.35,494200.0,36.1,21.7
28,2020-08-19,2141.95,2154.0,2121.35,2133.2,758768.0,32.65,8.75
29,2020-08-18,2089.7,2132.9,2082.95,2118.75,642400.0,49.95,-29.05
30,2020-08-17,2103.15,2107.3,2070.0,2091.45,923799.0,37.3,11.7
31,2020-08-14,2122.3,2156.5,2090.2,2114.1,1012345.0,66.3,8.2
32,2020-08-13,2133.5,2139.0,2110.0,2122.3,458203.0,29.0,11.2
33,2020-12-08,2124.0,2144.9,2106.6,2127.6,702687.0,38.3,-3.6
34,2020-11-08,2137.7,2160.0,2101.15,2134.05,697367.0,58.85,3.65
35,2020-10-08,2156.5,2164.95,2108.25,2119.6,825626.0,56.7,36.9
36,2020-07-08,2124.55,2157.0,2120.1,2146.7,960776.0,36.9,-22.15
37,2020-06-08,2160.0,2167.55,2106.95,2134.55,1248632.0,60.6,25.45
38,2020-05-08,2170.0,2195.0,2118.0,2126.65,1793838.0,77.0,43.35
39,2020-04-08,2017.1,2167.0,2001.25,2151.15,2053197.0,165.75,-134.05
40,2020-03-08,2059.0,2059.0,2004.0,2008.45,714727.0,55.0,50.55
