,Date,Open,High,Low,Close,Volume,High-Low,Open-Close
0,2020-09-28,2435.0,2442.8,2365.85,2425.35,158816.0,76.95,9.65
1,2020-09-25,2370.0,2439.8,2350.05,2422.3,236610.0,89.75,-52.3
2,2020-09-24,2450.0,2450.0,2302.5,2331.5,189137.0,147.5,118.5
3,2020-09-23,2510.0,2517.0,2410.0,2467.15,238132.0,107.0,42.85
4,2020-09-22,2484.8,2554.0,2458.45,2523.55,264321.0,95.55,-38.75
5,2020-09-21,2460.0,2505.0,2453.6,2464.6,127699.0,51.4,-4.6
6,2020-09-18,2480.0,2501.0,2435.75,2450.75,57975.0,65.25,29.25
7,2020-09-17,2487.0,2495.0,2452.6,2460.05,83371.0,42.4,26.95
8,2020-09-16,2490.0,2507.1,2478.5,2502.65,100286.0,28.6,-12.65
9,2020-09-15,2487.5,2538.0,2459.9,2490.25,437465.0,78.1,-2.75
10,2020-09-14,2377.0,2504.2,2377.0,2492.3,191774.0,127.2,-115.3
11,2020-11-09,2348.0,2382.65,2331.0,2373.7,174945.0,51.65,-25.7
12,2020-10-09,2329.0,2348.9,2324.85,2331.6,79509.0,24.05,-2.6
13,2020-09-09,2325.0,2359.15,2320.0,2323.75,101324.0,39.15,1.25
14,2020-08-09,2330.5,2389.5,2326.6,2348.95,251949.0,62.9,-18.45
15,2020-07-09,2288.0,2342.0,2283.0,2327.4,182399.0,59.0,-39.4
16,2020-04-09,2242.0,2323.5,2242.0,2289.75,153313.0,81.5,-47.75
17,2020-03-09,2265.1,2323.8,2265.1,2299.55,109805.0,58.7,-34.45
18,2020-02-09,2249.0,2268.35,2242.0,2264.8,408776.0,26.35,-15.8
19,2020-01-09,2265.0,2278.1,2241.5,2245.3,54703.0,36.6,19.7
20,2020-08-31,2241.0,2275.85,2228.3,2256.35,121315.0,47.55,-15.35
21,2020-08-28,2265.0,2280.0,2234.5,2237.1,75463.0,45.5,27.9
22,2020-08-27,2261.05,2287.0,2242.35,2247.9,134823.0,44.65,13.15
23,2020-08-26,2245.0,2260.0,2217.05,2254.65,76925.0,42.95,-9.65
24,2020-08-25,2250.0,2250.0,2235.0,2242.25,44505.0,15.0,7.75
25,2020-08-24,2248.0,2259.15,2230.0,2247.95,69290.0,29.15,0.05
26,2020-08-21,2254.0,2270.3,2242.0,2248.2,54539.0,28.3,5.8
27,2020-08-20,2257.0,2276.0,2240.0,2252.0,137977.0,36.0,5.0
28,2020-08-19,2273.9,2283.95,2253.0,2256.25,70011.0,30.95,17.65
29,2020-08-18,2264.8,2288.5,2250.0,2269.4,63828.0,38.5,-4.6
30,2020-08-17,2255.0,2268.85,2239.0,2252.05,98833.0,29.85,2.95
31,2020-08-14,2274.4,2281.25,2233.15,2242.45,98443.0,48.1,31.95
32,2020-08-13,2277.5,2299.45,2250.5,2255.5,64899.0,48.95,22.0
33,2020-12-08,2281.0,2303.5,2247.2,2256.7,98143.0,56.3,24.3
34,2020-11-08,2285.0,2312.4,2276.1,2279.25,53937.0,36.3,5.75
35,2020-10-08,2310.0,2324.35,2275.65,2281.6,50885.0,48.7,28.4
36,2020-07-08,2318.9,2327.0,2287.8,2294.95,149776.0,39.2,23.95
37,2020-06-08,2271.1,2317.75,2264.35,2307.7,136621.0,53.4,-36.6
38,2020-05-08,2264.95,2299.95,2253.3,2258.8,227082.0,46.65,6.15
39,2020-04-08,2260.0,2269.3,2226.0,2249.15,98064.0,43.3,10.85
40,2020-03-08,2299.0,2302.45,2232.0,2251.3,216125.0,70.45,47.7
